Annee,Mois,RH2M,TMP_MIN,TMP_MAX,WS2M,WS10M,WD10M,WD2M,UVA,UVB,CLOUD_AMT,SOIL_M,SOIL_W,SOIL_RW,PRECT_TOTAL,SURFACE_P,SH2M,Cases,Date
2010,1,58.067647058823525,-10.09,25.55,2.966470588235294,4.247058823529412,311.4082352941176,311.49176470588236,8.59764705882353,0.14882352941176472,36.21764705882353,0.5276470588235295,0.5229411764705882,0.5341176470588236,40.32470588235294,83.6405882352941,3.928235294117647,71,2010-01-01
2010,2,67.92529411764706,-5.69,26.46,3.7047058823529415,5.248235294117647,274.14235294117645,273.55176470588236,9.83705882352941,0.1935294117647059,54.17058823529412,0.591764705882353,0.6147058823529411,0.6047058823529411,83.44294117647058,83.28470588235295,5.43235294117647,54,2010-02-01
2010,3,55.660000000000004,-2.11,29.61,3.3041176470588236,4.689411764705882,289.4152941176471,288.81176470588235,13.68764705882353,0.3141176470588235,42.922941176470594,0.6029411764705882,0.6164705882352941,0.621764705882353,29.156470588235294,83.69705882352942,4.89,48,2010-03-01
2010,4,49.796470588235294,0.37,32.36,2.6741176470588237,3.7823529411764705,256.6294117647059,250.1058823529412,16.078823529411768,0.3852941176470588,47.584705882352935,0.5188235294117647,0.4852941176470588,0.5270588235294118,1.2405882352941175,83.46411764705881,5.765882352941176,20,2010-04-01
2010,5,41.63,1.15,34.27,3.5894117647058823,4.9282352941176475,316.55,313.68764705882353,18.39588235294118,0.4535294117647059,32.67235294117647,0.46294117647058824,0.3688235294117647,0.4664705882352941,0.31,83.56411764705882,4.973529411764706,17,2010-05-01
2010,6,36.69764705882353,4.94,39.9,3.3476470588235294,4.491764705882353,337.8241176470588,335.0417647058824,20.70235294117647,0.5282352941176471,14.901176470588236,0.4294117647058823,0.1923529411764706,0.42705882352941177,0.0,83.62058823529412,5.753529411764706,10,2010-06-01
2010,7,25.254117647058823,12.23,41.69,2.905294117647059,3.9488235294117646,185.8376470588235,189.0370588235294,17.658235294117645,0.4688235294117647,43.25705882352941,0.4264705882352941,0.1758823529411765,0.4223529411764706,1.5505882352941176,83.97294117647058,6.15764705882353,4,2010-07-01
2010,8,29.615882352941174,7.79,41.26,2.570588235294118,3.495294117647059,199.1623529411765,202.05176470588236,16.43647058823529,0.43529411764705883,41.83176470588235,0.43117647058823527,0.25588235294117645,0.43,15.510000000000002,84.02,6.671764705882353,4,2010-08-01
2010,9,40.52647058823529,7.44,38.48,2.6029411764705883,3.5352941176470587,241.62352941176474,239.25941176470587,13.856470588235295,0.35352941176470587,48.54764705882353,0.43117647058823527,0.25411764705882356,0.4294117647058823,7.7558823529411764,83.90529411764706,7.432352941176471,7,2010-09-01
2010,10,53.04117647058824,2.05,33.04,2.6017647058823528,3.5811764705882356,297.1058823529412,294.6976470588235,12.044117647058824,0.27176470588235296,33.4735294117647,0.44176470588235295,0.3458823529411765,0.4411764705882353,17.369999999999997,83.6635294117647,6.185882352941176,16,2010-10-01
2010,11,51.82764705882352,-0.14,25.55,2.6094117647058823,3.695294117647059,291.2664705882353,289.74764705882353,9.617058823529412,0.18176470588235294,25.76764705882353,0.43823529411764706,0.3317647058823529,0.4364705882352941,25.746470588235294,83.54470588235294,4.643529411764706,27,2010-11-01
