Annee,Mois,RH2M,TMP_MIN,TMP_MAX,WS2M,WS10M,WD10M,WD2M,UVA,UVB,CLOUD_AMT,SOIL_M,SOIL_W,SOIL_RW,PRECT_TOTAL,SURFACE_P,SH2M
2001,1,54.427058823529414,-5.63,23.4,2.666470588235294,3.8776470588235297,300.56176470588235,321.63,9.090588235294119,0.15058823529411766,28.959411764705884,0.49411764705882355,0.4676470588235294,0.49705882352941183,20.474117647058822,83.98,3.5694117647058823
2001,2,42.92411764705883,-4.76,23.5,2.445294117647059,3.5258823529411765,294.21,293.36764705882354,11.78764705882353,0.23705882352941177,28.531764705882352,0.4729411764705882,0.3952941176470588,0.4747058823529412,0.0,83.94470588235293,2.958235294117647
2001,3,41.08235294117647,-2.24,31.06,3.0923529411764705,4.391176470588235,281.88176470588235,282.1441176470588,14.914117647058823,0.3470588235294118,35.86176470588235,0.4517647058823529,0.3305882352941176,0.4535294117647059,4.653529411764706,83.67294117647059,3.849411764705882
2001,4,32.28764705882353,-1.76,31.95,2.781764705882353,3.8817647058823526,315.0917647058824,309.9476470588235,17.69764705882353,0.4052941176470588,31.86176470588235,0.4335294117647059,0.23411764705882354,0.43176470588235294,0.6205882352941177,83.6564705882353,3.6111764705882354
2001,5,35.39764705882353,-2.52,37.55,3.418235294117647,4.656470588235294,324.98470588235296,321.54,19.468823529411765,0.4852941176470588,34.163529411764706,0.42823529411764705,0.17058823529411765,0.4223529411764706,0.0,83.5829411764706,4.25764705882353
2001,6,21.444117647058825,8.51,41.13,3.1123529411764705,4.248823529411765,293.7429411764706,279.5241176470588,19.250588235294117,0.5070588235294118,29.070588235294117,0.4264705882352941,0.14941176470588236,0.4211764705882353,0.31,83.93470588235294,4.275294117647059
2001,7,18.75294117647059,9.2,42.17,2.982941176470588,4.081176470588235,252.9629411764706,247.21705882352938,18.024117647058826,0.47882352941176476,42.13941176470588,0.4252941176470588,0.0976470588235294,0.42058823529411765,0.0,83.95705882352941,4.289411764705882
2001,8,28.804117647058824,9.69,41.14,2.7682352941176473,3.7458823529411767,244.11470588235292,237.7258823529412,16.64117647058824,0.4341176470588235,43.239411764705885,0.4264705882352941,0.17294117647058824,0.4264705882352941,14.270588235294118,84.05235294117647,6.259411764705882
2001,9,38.03352941176471,6.14,38.22,3.0323529411764705,4.090588235294117,301.5764705882353,297.0064705882353,15.290000000000001,0.3852941176470588,36.129411764705885,0.42705882352941177,0.21352941176470588,0.42705882352941177,0.31,83.76235294117647,6.052941176470589
2001,10,35.128235294117644,4.18,31.95,2.697058823529412,3.8394117647058823,207.33588235294118,207.9558823529412,11.276470588235293,0.25411764705882356,55.339999999999996,0.42705882352941177,0.2211764705882353,0.42705882352941177,1.5505882352941176,84.08411764705883,4.825294117647059
2001,11,47.88529411764706,-6.52,26.01,2.5,3.6088235294117648,276.2541176470588,294.4664705882353,8.262352941176472,0.15058823529411766,51.72941176470588,0.4335294117647059,0.27294117647058824,0.43,1.8599999999999999,83.71470588235294,3.937058823529412
2001,12,64.21235294117648,-2.08,21.55,2.2811764705882354,3.3123529411764707,208.85882352941175,208.38235294117646,7.055882352941176,0.12,55.90176470588236,0.46529411764705886,0.4288235294117647,0.4676470588235294,46.83882352941176,83.80823529411765,4.827647058823529
2002,1,49.33529411764706,-4.47,23.58,1.82,2.7070588235294117,129.69058823529411,137.75176470588235,8.501764705882353,0.15823529411764706,39.89058823529412,0.48,0.4547058823529412,0.4847058823529412,0.0,84.27588235294118,3.48
2002,2,42.27058823529412,-2.74,25.74,1.8594117647058823,2.731176470588235,286.3229411764706,292.7647058823529,11.683529411764706,0.24058823529411763,32.85,0.45647058823529413,0.3911764705882353,0.45588235294117646,3.0999999999999996,84.05823529411765,3.338235294117647
2002,3,49.5564705882353,-5.67,28.83,2.841176470588235,4.024705882352941,265.30294117647054,264.1411764705882,14.004705882352942,0.3241176470588235,42.853529411764704,0.4623529411764706,0.42705882352941177,0.46352941176470586,66.3835294117647,83.57705882352941,3.899411764705883
2002,4,58.27235294117647,-3.62,29.91,3.0352941176470587,4.218235294117647,313.06,309.9041176470588,15.456470588235293,0.3647058823529412,49.73882352941176,0.5499999999999999,0.5447058823529412,0.5641176470588235,49.32176470588235,83.37529411764706,5.4282352941176475
2002,5,41.10705882352941,-2.72,36.15,3.1311764705882354,4.334117647058824,294.24882352941177,290.63529411764705,18.235882352941175,0.4576470588235294,39.19705882352941,0.48411764705882354,0.4329411764705883,0.4894117647058824,2.17,83.59764705882353,5.313529411764706
2002,6,25.34764705882353,4.44,39.65,3.2794117647058822,4.49235294117647,229.82,227.79764705882351,19.61470588235294,0.5188235294117647,28.140588235294118,0.43176470588235294,0.20529411764705885,0.4294117647058823,0.0,83.90411764705881,4.5058823529411764
2002,7,21.089411764705883,6.25,42.19,2.8741176470588234,3.914117647058823,292.1941176470588,273.49,19.371176470588235,0.521764705882353,24.77058823529412,0.4258823529411765,0.10176470588235294,0.4211764705882353,0.0,83.85176470588236,4.544117647058823
2002,8,28.678235294117645,8.06,39.91,3.0364705882352943,4.097647058823529,290.39294117647063,284.9994117647059,17.381764705882354,0.45705882352941174,34.86529411764706,0.4264705882352941,0.17941176470588238,0.42176470588235293,11.168235294117649,83.88882352941175,5.7570588235294125
2002,9,35.25,6.39,37.87,3.0488235294117647,4.162352941176471,290.92411764705884,288.1535294117647,15.459411764705882,0.39235294117647057,39.95470588235294,0.42764705882352944,0.2288235294117647,0.42705882352941177,5.270588235294118,83.95058823529412,5.668235294117647
2002,10,41.05411764705883,3.22,31.54,2.644705882352941,3.6758823529411764,270.2270588235294,286.81470588235294,12.231176470588236,0.27176470588235296,35.98117647058823,0.42764705882352944,0.22235294117647061,0.42705882352941177,3.721764705882353,84.00058823529412,5.367058823529412
2002,11,49.45176470588235,-3.24,29.24,2.6047058823529414,3.7141176470588237,317.07235294117646,314.47941176470584,9.614117647058823,0.17882352941176471,34.98705882352941,0.4541176470588235,0.33,0.45764705882352935,38.77470588235294,83.82764705882353,4.353529411764706
2002,12,61.417647058823526,-2.38,25.3,2.127058823529412,3.1576470588235295,243.68705882352944,240.53058823529412,7.597058823529412,0.12352941176470589,38.92823529411765,0.4888235294117647,0.46882352941176475,0.4964705882352941,22.644705882352945,83.9770588235294,4.760588235294117
2003,1,53.28235294117647,-8.59,24.0,2.5688235294117647,3.7252941176470586,322.60705882352937,321.6605882352941,8.999411764705883,0.14882352941176472,30.130000000000003,0.49058823529411766,0.46294117647058824,0.49470588235294116,8.997058823529413,83.97529411764705,3.42
2003,2,49.20411764705882,-5.31,23.95,2.6670588235294117,3.822352941176471,326.2505882352941,324.7258823529412,11.279411764705882,0.2088235294117647,34.08882352941176,0.4711764705882353,0.39999999999999997,0.47764705882352937,3.722352941176471,83.67588235294117,3.3405882352941174
2003,3,46.39705882352941,-0.93,31.43,2.5552941176470587,3.6605882352941173,171.89117647058825,175.73235294117646,13.15764705882353,0.2858823529411765,50.765882352941176,0.4682352941176471,0.4152941176470588,0.4747058823529412,24.814117647058822,83.77529411764706,4.265294117647059
2003,4,45.89705882352941,-2.46,33.78,3.275294117647059,4.562352941176471,283.6452941176471,283.0811764705882,17.10705882352941,0.40588235294117647,40.22411764705882,0.47764705882352937,0.43058823529411766,0.48294117647058826,26.98705882352941,83.45294117647059,4.54764705882353
2003,5,38.199999999999996,-2.76,35.81,2.9958823529411767,4.1505882352941175,49.84117647058824,195.52823529411765,18.478235294117646,0.44058823529411767,39.61235294117647,0.4511764705882353,0.3264705882352941,0.44999999999999996,2.7923529411764707,83.68058823529411,5.322941176470588
